"dma_code","dma_name","state","cenregnm","year","cases","pop","inc","search_ld","search_tb","search_ld_nb_mean","search_tb_nb_mean","elev","elev_nb_mean","dev1","dev1_nb_mean","for1","for3","max_ndvi","for1_nb_mean","for3_nb_mean","max_ndvi_nb_mean","ppt_winter_in","ppt_spring_in","ppt_summer_in","ppt_fall_in","ppt_annual_in","ppt_winter_nb_mean_in","ppt_spring_nb_mean_in","ppt_summer_nb_mean_in","ppt_fall_nb_mean_in","ppt_annual_nb_mean_in","tmean_winter_f","tmean_spring_f","tmean_summer_f","tmean_fall_f","tmean_annual_f","tmean_winter_nb_mean_f","tmean_spring_nb_mean_f","tmean_summer_nb_mean_f","tmean_fall_nb_mean_f","tmean_annual_nb_mean_f","x_km","y_km"
503,"Macon, GA","Georgia","South",2015,0,668630,0,"REDACTED","REDACTED","REDACTED","REDACTED",110.4600097,135.751784,4.4917583,5.1680331,9.37386,8.256653978,0.8720231,11.61852238,6.4561505,0.8689342,13.4183579,10.51035,12.178937712,11.5226977,50.963604,13.1865334,11.0179746,14.70532775,13.5416527,55.872071,46.6175678,66.32263,81.30027,66.30517,65.77051,46.498236,66.11731,80.73392,66.70904,65.66114,1179.249719,-472.5756928
503,"Macon, GA","Georgia","South",2016,0,667907,0,"REDACTED","REDACTED","REDACTED","REDACTED",110.4600097,135.751784,4.4917583,5.1680331,9.37386,8.256653978,0.8737204,11.61852238,6.4561505,0.8731857,16.6981872,11.1502,9.681199434,4.2100668,39.546671,17.91408,11.5856428,11.51141357,7.018405,45.499305,51.2254667,65.51103,82.36304,68.19933,66.28737,51.186246,65.366,81.77611,68.01995,66.02357,1179.249719,-472.5756928
503,"Macon, GA","Georgia","South",2017,1,668203,0.14965512,"REDACTED","REDACTED","REDACTED","REDACTED",110.4600097,135.751784,4.4917583,5.1680331,9.37386,8.256653978,0.8803436,11.61852238,6.4561505,0.8773954,17.9923217,10.20298,14.78697774,8.7179894,48.667174,16.6271485,11.1940918,16.80557471,9.5344278,51.558643,54.0609579,66.05756,79.58658,66.09465,66.22687,53.851965,65.82607,79.2904,66.13305,66.04294,1179.249719,-472.5756928
503,"Macon, GA","Georgia","South",2018,2,671331,0.29791563,"REDACTED","REDACTED","REDACTED","REDACTED",110.4600097,135.751784,4.4917583,5.1680331,9.37386,8.256653978,0.8730996,11.61852238,6.4561505,0.8710507,9.4698125,14.7761,16.279308661,14.2140623,59.145648,10.2679506,14.7200078,17.86930407,13.5223516,61.941565,50.5846471,63.04978,80.20472,67.3175,65.28838,50.229573,62.9742,79.94119,67.2738,65.13151,1179.249719,-472.5756928
503,"Macon, GA","Georgia","South",2019,0,673492,0,"REDACTED","REDACTED","REDACTED","REDACTED",110.4600097,135.751784,4.4917583,5.1680331,9.37386,8.256653978,0.8487449,11.61852238,6.4561505,0.8487167,14.3860736,8.404814,12.864740355,10.529911,46.48231,16.2023102,9.4896957,15.85043182,9.9449835,49.312818,51.0890176,65.75742,80.88925,67.67999,66.51213,51.231393,65.63347,80.3938,67.43067,66.34836,1179.249719,-472.5756928
504,"Philadelphia, PA","Pennsylvania","Northeast",2011,4045,8020021,50.43627691,"REDACTED","REDACTED","REDACTED","REDACTED",71.3823623,172.977755,13.1970608,8.4659446,17.31109,6.505365356,0.8329568,27.18872867,9.02183815,0.865648,9.1045302,14.70219,21.684125103,16.3973931,63.293601,8.3506139,16.5665564,17.53224284,18.1562961,61.112517,30.882528,53.42601,75.27226,57.94494,55.17845,29.302177,51.92634,73.65644,56.50572,53.65861,1741.265642,460.6127722
504,"Philadelphia, PA","Pennsylvania","Northeast",2012,3352,8045804,41.66146727,"REDACTED","REDACTED","REDACTED","REDACTED",71.3823623,172.977755,13.1970608,8.4659446,17.31109,6.505365356,0.8321784,27.18872867,9.02183815,0.8704663,8.3216767,8.507982,11.754425943,13.5781053,42.664873,7.5362371,9.197259,12.2597704,13.5351906,43.531864,38.2506777,55.97654,74.55313,55.14329,55.99367,36.778158,55.1337,73.22275,53.93334,54.79817,1741.265642,460.6127722
504,"Philadelphia, PA","Pennsylvania","Northeast",2013,2816,8060835,34.93434613,"REDACTED","REDACTED","REDACTED","REDACTED",71.3823623,172.977755,13.1970608,8.4659446,17.31109,6.505365356,0.8435934,27.18872867,9.02183815,0.876512,10.8276444,9.323796,21.357791247,8.1467673,49.638835,10.1875835,9.416519,16.57925144,9.5146184,45.703205,35.5806574,50.70306,73.67321,55.01665,53.37174,34.234471,49.57243,72.40748,53.89296,52.15273,1741.265642,460.6127722
504,"Philadelphia, PA","Pennsylvania","Northeast",2014,2633,8079839,32.58728299,"REDACTED","REDACTED","REDACTED","REDACTED",71.3823623,172.977755,13.1970608,8.4659446,17.31109,6.505365356,0.8388245,27.18872867,9.02183815,0.873864,13.701456,14.03421,12.757254712,10.9984247,50.721531,11.532766,13.1141111,12.73240333,9.6580664,46.091862,30.4648445,49.54631,72.05473,55.27065,52.05182,28.94566,48.4227,70.67528,54.15155,50.76486,1741.265642,460.6127722
504,"Philadelphia, PA","Pennsylvania","Northeast",2015,4021,8089649,49.70549402,"REDACTED","REDACTED","REDACTED","REDACTED",71.3823623,172.977755,13.1970608,8.4659446,17.31109,6.505365356,0.8449479,27.18872867,9.02183815,0.8764059,10.8889018,9.1294,16.03924408,10.2723963,47.253656,9.2200352,9.2981398,15.48453305,10.2667753,45.177028,29.7569689,51.36991,73.60801,58.22493,53.98047,28.232325,50.21628,71.99781,57.04757,52.57526,1741.265642,460.6127722
